City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,egvekinot,RU,2021-09-13 05:23:40,66.3167,-179.1667,25.36,81,74,10.51
70,carnarvon,AU,2021-09-13 05:23:40,-24.8667,113.6333,73.47,38,0,19.57
71,rawson,AR,2021-09-13 05:23:41,-43.3002,-65.1023,51.94,43,90,13.82
72,port augusta,AU,2021-09-13 05:19:21,-32.5,137.7667,64.71,34,3,16.55
73,canakkale,TR,2021-09-13 05:23:41,40.0833,26.8333,63.21,79,98,5.73
74,yumen,CN,2021-09-13 05:23:41,40.2833,97.2,69.67,45,100,5.68
75,tasiilaq,GL,2021-09-13 05:23:42,65.6145,-37.6368,46.56,73,100,22.46
76,ketchikan,US,2021-09-13 05:23:42,55.3422,-131.6461,54.07,94,90,0.0
77,bambanglipuro,ID,2021-09-13 05:23:42,-7.95,110.2833,83.43,73,87,13.02
78,dikson,RU,2021-09-13 05:23:43,73.5069,80.5464,41.99,87,99,14.03
79,amalapuram,IN,2021-09-13 05:23:43,16.5833,82.0167,86.38,73,100,8.9
80,ballina,AU,2021-09-13 05:23:43,-28.8667,153.5667,78.98,78,40,11.5
81,adwa,ET,2021-09-13 05:23:44,14.1646,38.8955,65.52,73,15,0.25
82,east london,ZA,2021-09-13 05:23:44,-33.0153,27.9116,61.74,88,0,8.05
83,karatau,KZ,2021-09-13 05:23:44,43.1667,70.4667,68.49,33,4,6.58
84,grand gaube,MU,2021-09-13 05:23:44,-20.0064,57.6608,73.8,68,41,10.0
85,guerrero negro,MX,2021-09-13 05:23:45,27.9769,-114.0611,74.91,79,0,9.75
86,alekseyevsk,RU,2021-09-13 05:23:45,57.8406,108.3492,58.69,48,98,5.68
87,varhaug,NO,2021-09-13 05:23:45,58.6147,5.6457,50.9,84,55,14.79
88,bluff,NZ,2021-09-13 05:23:46,-46.6,168.3333,42.8,71,96,20.58
89,kavieng,PG,2021-09-13 05:23:46,-2.5744,150.7967,78.44,87,100,21.45
90,baytown,US,2021-09-13 05:23:46,29.7355,-94.9774,80.82,91,100,13.09
91,guaranda,EC,2021-09-13 05:23:47,-1.6,-79.0,54.19,84,76,2.46
92,kamenka,RU,2021-09-13 05:23:47,51.3223,42.7678,62.19,58,100,5.84
93,kayerkan,RU,2021-09-13 05:23:47,69.3497,87.7602,47.57,75,100,13.98
